power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
93.20 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 0 %
93.39 W, 1489 MiB, 100 %, 0 %
93.39 W, 1489 MiB, 100 %, 0 %
86.29 W, 1489 MiB, 100 %, 0 %
73.59 W, 1489 MiB, 100 %, 0 %
85.34 W, 1489 MiB, 100 %, 0 %
92.04 W, 1489 MiB, 100 %, 0 %
93.39 W, 1489 MiB, 100 %, 0 %
93.59 W, 1489 MiB, 100 %, 0 %
93.68 W, 1489 MiB, 100 %, 0 %
93.59 W, 1489 MiB, 100 %, 0 %
93.68 W, 1489 MiB, 100 %, 0 %
93.68 W, 1489 MiB, 100 %, 0 %
93.78 W, 1489 MiB, 100 %, 0 %
93.78 W, 1489 MiB, 100 %, 0 %
93.68 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.30 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.39 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
75.99 W, 1489 MiB, 100 %, 0 %
89.63 W, 1489 MiB, 100 %, 0 %
93.10 W, 1489 MiB, 100 %, 0 %
93.39 W, 1489 MiB, 100 %, 0 %
93.68 W, 1489 MiB, 100 %, 0 %
93.59 W, 1489 MiB, 100 %, 0 %
93.68 W, 1489 MiB, 100 %, 0 %
