power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
39.94 W, 561 MiB, 13 %, 4 %
62.85 W, 691 MiB, 13 %, 4 %
52.44 W, 561 MiB, 13 %, 4 %
44.89 W, 561 MiB, 12 %, 4 %
42.17 W, 561 MiB, 13 %, 4 %
40.91 W, 561 MiB, 13 %, 4 %
40.42 W, 561 MiB, 6 %, 2 %
40.23 W, 561 MiB, 6 %, 2 %
40.14 W, 561 MiB, 14 %, 4 %
39.94 W, 561 MiB, 13 %, 4 %
40.04 W, 561 MiB, 13 %, 4 %
63.72 W, 691 MiB, 13 %, 4 %
54.36 W, 561 MiB, 10 %, 4 %
47.69 W, 561 MiB, 10 %, 4 %
43.82 W, 561 MiB, 10 %, 3 %
41.98 W, 561 MiB, 10 %, 3 %
40.91 W, 561 MiB, 12 %, 4 %
40.42 W, 561 MiB, 13 %, 4 %
40.13 W, 561 MiB, 13 %, 4 %
40.04 W, 561 MiB, 13 %, 4 %
39.94 W, 561 MiB, 13 %, 4 %
39.94 W, 561 MiB, 7 %, 2 %
52.13 W, 691 MiB, 14 %, 4 %
62.21 W, 561 MiB, 14 %, 4 %
50.40 W, 561 MiB, 13 %, 4 %
46.45 W, 561 MiB, 13 %, 4 %
43.53 W, 561 MiB, 13 %, 4 %
41.98 W, 561 MiB, 6 %, 2 %
41.20 W, 561 MiB, 6 %, 2 %
40.71 W, 561 MiB, 13 %, 4 %
40.53 W, 561 MiB, 14 %, 4 %
40.33 W, 561 MiB, 14 %, 4 %
40.33 W, 561 MiB, 13 %, 4 %
40.14 W, 561 MiB, 13 %, 4 %
40.03 W, 561 MiB, 8 %, 2 %
40.14 W, 561 MiB, 13 %, 4 %
40.04 W, 561 MiB, 13 %, 4 %
57.61 W, 691 MiB, 13 %, 4 %
64.23 W, 561 MiB, 7 %, 2 %
56.21 W, 561 MiB, 7 %, 2 %
48.06 W, 561 MiB, 12 %, 4 %
45.28 W, 561 MiB, 12 %, 4 %
43.24 W, 561 MiB, 13 %, 4 %
42.46 W, 561 MiB, 13 %, 4 %
41.49 W, 561 MiB, 13 %, 4 %
41.10 W, 561 MiB, 6 %, 2 %
40.81 W, 561 MiB, 6 %, 2 %
40.52 W, 561 MiB, 13 %, 4 %
40.43 W, 561 MiB, 13 %, 4 %
40.23 W, 561 MiB, 13 %, 4 %
40.23 W, 561 MiB, 7 %, 2 %
40.23 W, 561 MiB, 13 %, 4 %
40.04 W, 561 MiB, 13 %, 4 %
39.94 W, 561 MiB, 13 %, 4 %
39.94 W, 561 MiB, 13 %, 4 %
39.94 W, 561 MiB, 11 %, 4 %
39.94 W, 561 MiB, 8 %, 2 %
39.94 W, 561 MiB, 8 %, 2 %
40.04 W, 561 MiB, 13 %, 4 %
50.86 W, 691 MiB, 13 %, 4 %
63.49 W, 691 MiB, 13 %, 4 %
67.62 W, 691 MiB, 7 %, 2 %
64.60 W, 689 MiB, 7 %, 2 %
60.74 W, 561 MiB, 13 %, 4 %
54.86 W, 561 MiB, 13 %, 4 %
